,avgtimeall,avgtimealllure,avgtimeallreal,avgtimeneglure,avgtimenegreal,avgtimeneulure,avgtimeneureal,avgtimeposlure,avgtimeposreal,condition,subjid,totalneglure,totalnegreal,totalneulure,totalneureal,totalposlure,totalposreal
0,4.178133333333333,,,,,,,,,M12,test999,0,0,0,0,0,0
1,14.84075,,,,,,,,,M11,cs04,0,0,0,0,0,0
2,10.904761904761905,,,,,,,,,M12,CS99,0,0,0,0,0,0
3,19.2761,,,,,,,,,M22,cs16,0,0,0,0,0,0
4,6.877193548387097,,,,,,,,,L22,cs54,0,0,0,0,0,0
5,7.482833333333333,,,,,,,,,L32,cs48,0,0,0,0,0,0
6,7.7337727272727275,,,,,,,,,M22,cs29,0,0,0,0,0,0
7,9.44290909090909,,,,,,,,,M21,cs09,0,0,0,0,0,0
8,3.26825,,,,,,,,,M41,test6,0,0,0,0,0,0
9,26.7805,,,,,,,,,M41,cs11,0,0,0,0,0,0
10,5.0455,,,,,,,,,L21,stefano1,0,0,0,0,0,0
11,27.949333333333332,,,,,,,,,L31,CS77,0,0,0,0,0,0
12,6.068136363636364,,,,,,,,,M11,cs39,0,0,0,0,0,0
13,6.4409375,,,,,,,,,M32,cs47,0,0,0,0,0,0
14,5.389600000000001,,,,,,,,,L22,cs56,0,0,0,0,0,0
15,30.5021,,,,,,,,,M32,CS114,0,0,0,0,0,0
16,23.633,,,,,,,,,M12,cs134,0,0,0,0,0,0
17,9.712399999999999,,,,,,,,,L12,CS138,0,0,0,0,0,0
18,14.533,,,,,,,,,L41,CS95,0,0,0,0,0,0
19,28.2075,,,,,,,,,M21,cs57,0,0,0,0,0,0
20,9.000863636363636,,,,,,,,,M32,cs89,0,0,0,0,0,0
21,5.781888888888889,,,,,,,,,L32,cs68,0,0,0,0,0,0
22,26.9755625,,,,,,,,,L42,cs86,0,0,0,0,0,0
23,11.724416666666666,,,,,,,,,L41,cs50,0,0,0,0,0,0
24,9.744277777777777,,,,,,,,,L11,cs131,0,0,0,0,0,0
25,7.70084,,,,,,,,,M12,CS115,0,0,0,0,0,0
26,15.9584375,,,,,,,,,M22,cs66,0,0,0,0,0,0
27,5.705541666666667,,,,,,,,,L32,cs60,0,0,0,0,0,0
28,11.24792857142857,,,,,,,,,L42,cs116,0,0,0,0,0,0
29,6.064125,,,,,,,,,L31,cs32,0,0,0,0,0,0
30,5.602,,,,,,,,,L12,teststefano,0,0,0,0,0,0
31,7.3896875,,,,,,,,,L12,cs61,0,0,0,0,0,0
32,11.182,,,,,,,,,M22,stefano1,0,0,0,0,0,0
33,15.1422,,,,,,,,,M12,cs51,0,0,0,0,0,0
34,10.494333333333334,,,,,,,,,L32,cs111,0,0,0,0,0,0
35,12.667142857142856,,,,,,,,,L42,cs49,0,0,0,0,0,0
36,21.91916666666667,,,,,,,,,M42,cs86,0,0,0,0,0,0
37,16.70365625,,,,,,,,,M22,cs93,0,0,0,0,0,0
38,9.731714285714286,,,,,,,,,M11,cs13,0,0,0,0,0,0
39,15.879117647058823,,,,,,,,,M41,cs86,0,0,0,0,0,0
40,33.67004,,,,,,,,,L41,cs86,0,0,0,0,0,0
41,7.462428571428571,,,,,,,,,M42,cs116,0,0,0,0,0,0
42,9.466941176470588,,,,,,,,,M32,CS90,0,0,0,0,0,0
43,10.0605,,,,,,,,,M31,cs68,0,0,0,0,0,0
44,6.967046511627907,,,,,,,,,L21,cs46,0,0,0,0,0,0
45,23.98616666666667,,,,,,,,,M21,ryan,0,0,0,0,0,0
46,2.7702727272727277,,,,,,,,,M11,TESTSAM,0,0,0,0,0,0
47,11.679434782608697,,,,,,,,,M42,cs49,0,0,0,0,0,0
48,19.10353846153846,,,,,,,,,L22,cs120,0,0,0,0,0,0
49,17.404941176470587,,,,,,,,,L11,CS100,0,0,0,0,0,0
50,31.689083333333333,,,,,,,,,L21,cs79,0,0,0,0,0,0
51,23.121599999999997,,,,,,,,,L11,CS104,0,0,0,0,0,0
52,15.455666666666666,,,,,,,,,L12,cs04,0,0,0,0,0,0
53,11.217954545454546,,,,,,,,,M41,cs49,0,0,0,0,0,0
54,288.617,,,,,,,,,L31,cs36,0,0,0,0,0,0
55,6.7812,,,,,,,,,L21,cs55,0,0,0,0,0,0
56,26.6437,,,,,,,,,M32,cs15,0,0,0,0,0,0
57,12.891285714285713,,,,,,,,,L41,cs22,0,0,0,0,0,0
58,5.614199999999999,,,,,,,,,L31,stefano1,0,0,0,0,0,0
59,35.2128,,,,,,,,,M22,CS70,0,0,0,0,0,0
60,4.9735,,,,,,,,,L32,CS122,0,0,0,0,0,0
61,11.5724,,,,,,,,,M11,CS135,0,0,0,0,0,0
62,15.973190476190478,,,,,,,,,L31,CS98,0,0,0,0,0,0
63,12.386625,,,,,,,,,M11,CS115,0,0,0,0,0,0
64,20.43375,,,,,,,,,L22,cs29,0,0,0,0,0,0
65,0.986,,,,,,,,,M12,test6,0,0,0,0,0,0
66,6.142727272727273,,,,,,,,,M32,cs32,0,0,0,0,0,0
67,14.043166666666666,,,,,,,,,M32,cs83,0,0,0,0,0,0
68,13.704333333333334,,,,,,,,,L12,cs12,0,0,0,0,0,0
69,10.22414705882353,,,,,,,,,L41,cs24,0,0,0,0,0,0
70,56.34353846153846,,,,,,,,,M11,stefano1,0,0,0,0,0,0
71,30.9045,,,,,,,,,M12,cs27,0,0,0,0,0,0
72,21.721,,,,,,,,,L22,cs88,0,0,0,0,0,0
73,26.5993125,,,,,,,,,M21,cs66,0,0,0,0,0,0
74,15.658642857142857,,,,,,,,,L22,CS106,0,0,0,0,0,0
75,12.402966666666668,,,,,,,,,M12,cs73,0,0,0,0,0,0
76,38.65192857142857,,,,,,,,,L22,CS70,0,0,0,0,0,0
77,8.54669230769231,,,,,,,,,L12,cs13,0,0,0,0,0,0
78,8.124416666666667,,,,,,,,,M42,cs72,0,0,0,0,0,0
79,27.039,,,,,,,,,M31,CS123,0,0,0,0,0,0
80,62.6515,,,,,,,,,L41,cs124,0,0,0,0,0,0
81,6.2765,,,,,,,,,M41,cs117,0,0,0,0,0,0
82,21.29275,,,,,,,,,L21,cs57,0,0,0,0,0,0
83,12.979333333333335,,,,,,,,,L41,test,0,0,0,0,0,0
84,21.9720625,,,,,,,,,M22,cs57,0,0,0,0,0,0
85,28.7975,,,,,,,,,L41,cs112,0,0,0,0,0,0
86,14.3621875,,,,,,,,,L12,cs26,0,0,0,0,0,0
87,18.114083333333333,,,,,,,,,L11,CS99,0,0,0,0,0,0
88,24.678583333333332,,,,,,,,,M32,cs107,0,0,0,0,0,0
89,13.079666666666666,,,,,,,,,M12,CS74,0,0,0,0,0,0
90,5.4425,,,,,,,,,M12,cs43,0,0,0,0,0,0
91,8.038521739130434,,,,,,,,,L42,CS101,0,0,0,0,0,0
92,11.841285714285714,,,,,,,,,L31,CS97,0,0,0,0,0,0
93,18.392892857142858,,,,,,,,,M31,cs139,0,0,0,0,0,0
94,13.663666666666666,,,,,,,,,L31,CS123,0,0,0,0,0,0
95,10.674100000000001,,,,,,,,,L42,cs72,0,0,0,0,0,0
96,5.532555555555556,,,,,,,,,M31,cs60,0,0,0,0,0,0
97,46.94733333333333,,,,,,,,,L12,cs30,0,0,0,0,0,0
98,13.438875,,,,,,,,,L32,cs58,0,0,0,0,0,0
99,10.801,,,,,,,,,L12,CS74,0,0,0,0,0,0
100,9.165333333333335,,,,,,,,,L41,cs41,0,0,0,0,0,0
101,10.9846,,,,,,,,,L12,cs23,0,0,0,0,0,0
102,2.866,,,,,,,,,M11,TestRyan,0,0,0,0,0,0
103,40.512550000000005,,,,,,,,,L21,CS70,0,0,0,0,0,0
104,4.015,,,,,,,,,L21,teststefano,0,0,0,0,0,0
105,6.876076923076923,,,,,,,,,M41,cs10,0,0,0,0,0,0
106,9.273411764705882,,,,,,,,,L42,CS95,0,0,0,0,0,0
107,23.6725,,,,,,,,,L21,cs88,0,0,0,0,0,0
108,7.8597,,,,,,,,,L12,cs133,0,0,0,0,0,0
109,5.124133333333333,,,,,,,,,M12,cs13,0,0,0,0,0,0
110,7.56275,,,,,,,,,L42,cs50,0,0,0,0,0,0
111,9.60775,,,,,,,,,M11,CS81,0,0,0,0,0,0
112,7.682636363636364,,,,,,,,,M41,cs37,0,0,0,0,0,0
113,11.865125,,,,,,,,,L12,cs01,0,0,0,0,0,0
114,33.378,,,,,,,,,L12,CS81,0,0,0,0,0,0
115,3.5225,,,,,,,,,L22,test6,0,0,0,0,0,0
116,9.629291666666665,,,,,,,,,M42,CS95,0,0,0,0,0,0
