,avgtimeall,avgtimealllure,avgtimeallreal,avgtimeneglure,avgtimenegreal,avgtimeneulure,avgtimeneureal,avgtimeposlure,avgtimeposreal,condition,subjid,totalneglure,totalnegreal,totalneulure,totalneureal,totalposlure,totalposreal
0,14.553444444444445,6.0695,21.3406,5.219,22.30933333333333,6.353,na,na,19.8875,M11,cs43,3,3,0,0,1,2
1,33.0515,37.86,31.448666666666668,na,50.786,37.86,na,na,21.78,M41,cs38,1,1,0,0,0,2
2,26.939083333333333,11.007,34.905125,9.46,56.2,11.522666666666666,2.698,na,32.8286,M11,cs73,3,2,0,1,1,5
3,9.472,na,9.472,na,9.472,na,na,na,na,M21,cs06,0,1,0,0,0,0
4,8.664166666666667,4.747,12.581333333333333,5.2765,15.226,3.688,na,na,7.292,M41,cs113,1,2,0,0,2,1
5,5.861,na,5.861,na,na,na,na,na,5.861,M31,subj04,0,0,0,0,0,1
6,66.23825,56.595,69.45266666666667,na,na,56.595,na,na,69.45266666666667,M11,stefano1,1,0,0,0,0,3
7,32.44166666666667,7.8,44.7625,na,na,7.8,na,na,44.7625,L41,cs78,1,0,0,0,0,2
8,30.487599999999997,na,30.487599999999997,na,30.825333333333333,na,na,na,29.981,L11,CS104,0,3,0,0,0,2
9,40.076125,31.92725,48.225,27.2035,54.410333333333334,36.651,na,na,29.669,M21,cs66,2,3,0,0,2,1
10,7.8145,5.942,8.438666666666666,na,8.635,5.942,na,na,8.3405,L32,CS123,1,1,0,0,0,2
11,23.255333333333333,na,23.255333333333333,na,na,na,na,na,23.255333333333333,M31,CS77,0,0,0,0,0,3
12,8.02876923076923,4.473285714285715,12.176833333333335,3.6565,11.995666666666667,4.8,na,na,12.358,L11,cs118,5,3,0,0,2,3
13,20.401799999999998,8.1825,28.548,na,41.187,8.1825,na,na,22.2285,L32,CS114,2,1,0,0,0,2
14,6.625285714285715,5.177,7.7115,na,5.9835,4.138,na,7.255,9.4395,L31,cs35,2,2,1,0,0,2
15,9.176,6.617,9.6878,na,9.061333333333334,6.617,na,na,10.6275,L32,cs59,1,3,0,0,0,2
16,12.26,2.2425,15.599166666666665,2.0,17.192,2.485,na,na,12.4135,M42,CS101,1,4,0,0,1,2
17,18.607142857142858,11.566625,27.9945,18.615,36.96125,3.3333333333333335,12.014,8.073,8.108,L41,cs25,3,4,1,1,4,1
18,23.993599999999997,12.982,26.7465,12.982,31.6655,na,na,na,21.8275,L11,cs73,0,2,0,0,1,2
19,38.876,41.74633333333333,34.5705,na,na,41.74633333333333,na,na,34.5705,L21,cs66,3,0,0,0,0,2
20,25.2365,na,25.2365,na,40.024,na,na,na,10.449,L22,cs05,0,1,0,0,0,1
21,17.0416,8.94825,22.437166666666666,4.2405,22.44,13.656,na,na,22.43575,M32,cs36,2,2,0,0,2,4
22,23.42233333333333,6.5505,31.85825,8.353,43.031,4.748,na,na,20.6855,M21,CS109,1,2,0,0,1,2
23,42.926,5.299,52.33275,na,52.078,na,na,5.299,52.5875,L32,cs139,0,2,1,0,0,2
24,2.3466666666666667,2.1625,2.715,na,na,2.1625,na,na,2.715,L41,test01,2,0,0,0,0,1
25,3.9098333333333333,1.9693333333333332,5.850333333333333,0.974,6.981,2.467,na,na,3.589,M42,test-vinnie,2,2,0,0,1,1
26,20.65375,18.595,22.7125,na,31.399,18.595,na,na,14.026,L11,cs51,2,1,0,0,0,1
27,18.45485714285714,8.3695,22.489,na,24.223,8.3695,14.6375,na,29.4735,L11,cs63,2,1,0,2,0,2
28,7.913222222222223,6.8784,9.20675,7.849,12.7775,6.231333333333333,na,na,5.636,L42,cs126,3,2,0,0,2,2
29,5.4375,5.942,4.933,na,na,5.942,na,na,4.933,M31,test01,1,0,0,0,0,1
