voteno	vote	First 	Last	Real	Medium	code	title	article	newspaper	neutralpage
1	vote1	James	Walker	Real	Mobile	P1	Walker donates 60 percent of salary to charity	Judge James Walker donates 60% of his salary to charity and lives in a very modest house. The judge earns a good amount for his judicial duties but donates the majority of it.“I do fine with that amount; I have to do fine because there are many who live with much less,” Walker told the paper. He focuses his giving on helping the poor and small entrepreneurs.“This is a matter of freedom,” Walker said. “If you don’t have many possessions then you don’t need to work all your life like a slave to sustain them, and therefore you have more time for yourself.”Walker also seems intent on impressing his philanthropic ways on other’s around the area.Walker espoused his philosophy on poverty and consumption.“If all I’m doing is working to buy things to get more, if society of consumption is the energy of everything, where does this go?” he asked. “We need to start to fight for another kind of culture. ... a poor person is not someone who doesn’t have very much, but the person who really is poor is the person that continues to need more and more and more and desires more and more.”	TheBusinessJournal	Whitepages
1	vote1	James	Walker	Real	Mobile	P2	Judge receives award - Outstanding judicial service and support for youth recognized	Court Judge James Walker thought he was just doing his job when he was awarded for outstanding judicial services, recently."I thought I was doing what I was supposed to because that's my job. I didn't know that people were paying attention or that what I was doing was anything above or beyond or extraordinary," Walker said. "I'm honored."     Walker, who was the recipient of the 2010 Robert J. Kinsey Award, said he did not know about the award until about a week before it was to be presented to him in April. He didn't even know he had been nominated.    The award is presented to judges who show dedication and support to children and youth. Walker has shown his dedication by devoting time to being a member of the Advisory Council, the Court Management Committee, the Judge's Association, American Bar Association, State Bar Association and the Council of Juvenile and Family Court Judges.    He has been instrumental in bringing the Youth Center to the community while also helping plan and develop the CASA Program and a community service work program for juveniles.    "I was very touched that everyone went through all that trouble," Walker said. "I couldn't do what I did without my staff and the probation office and a lot of other people — the CASA volunteers, attorneys who represent the kids and their parents," he said.  	TheHerald	PeopleFinder
1	vote1	James	Walker	Real	Mobile	P3	Judge saves children from burning vehicle on highway	A local judge and his friend saved two children from a burning car over the weekend. After receiving a tip regarding the incident on our CBS Facebook page, we reached out to Judge James Walker.Walker said he and his friend, Olga Rangler, had just finished eating dinner on Saturday evening, and then took to Highway 71 to head back home.The two passed a car with flames coming from underneath the vehicle near the driver and passenger side door."When we first pulled up, the flames were big," said Walker.According to a Fire Department Twitter account, a vehicle fire was reported in the 4900 block of East Highway 71 at 8:31 p.m. on Saturday, which is near the location Walker described, across the road from a junkyard.County Emergency Services of District 11 say the cause of the fire was likely a small oil leak, and the fire was out before fire units arrived.Judge Walker told CBS that he and Rangler were able to get both children out of the vehicle. Walker said one boy, at least two years old, was not in a car seat and that an infant boy was in a carrier. Walker said he discovered a can of Pledge cleaning fluid in the carrier with the baby.The judge also said that the adults on scene, a man and a woman, were not making any attempt to help the children.	TheReview	spokeo
1	vote1	James	Walker	Real	Mobile	P4	Judge puts library on the map	Contents of the local library were hauled to a closed school to make way for a $4.1 million renovation that updated the 1929 library building. The project was an inconvenience but also a source of pride for James Walker, who worked at an award-winning library only a few years back.James Walker grew up in this town and worked as a library shelver in youth services while studying how to be a judge. Walker ended up spending 12 years at three libraries in the area before inching south to the main library. He then served has one of the most important judge’s and was upset that he had to leave his library days behind“It’s so close to my heart and such an honor to come here and be able to give back to the community that gave me so much,” he said. He is glad to be helping in this new project to show the community how important this library is. Walker wants the people of this community to know that he has other interest that don’t involve being a judge and he hopes everybody will enjoy the new library renovations.	TheEnquirer	zoominfo
1	vote1	David	Walker	Lure	Mobile	N1	County judge backs into grocery shopper	Judge Walker backed into an unsuspecting shoppers cart full of food at a grocery store Sunday night. The incident was completely caught on security camera footage.Judge David Walker was backing out of his parking spot Sunday night and was clearly not paying attention. His car ran over a shoppers grocery cart and knocked over all of their groceries.Rather than getting out to make sure that the person was okay, he sped off to avoid the conflict. The cart went flying and food went everywhere. The person fell to the ground very hard and showed obvious signs of discomfort.“I can’t believe that this happened,” the victim said. “He ran over all of my groceries, who’s going to pay for the food that I lost? I’m lucky that I didn’t get hit by the car and only fell over.”The judge’s car suffered a few minor scratches and dents. He is seeking for damages payments from the person that he struck with his car. The victim was not injured and no word has been given on if the victim will file charges or not. There has also been no word on if the grocery shopper will pay.	TheAdvocate	USSearch
1	vote1	David	Walker	Lure	Mobile	N2	Judge accused of faking being hit by politician's car	On Christmas Eve, representative Johnson went to try to resolve a dispute between a motorcyclist and police as part of his work as a union leader supporting motorcycle taxi drivers. This motorcyclist was Judge David Walker.Walker made claims that the police officer hit him with his car and didn’t help. If this allegation is true the police officer would definitely face some sort of consequence; however, evidence shows that maybe Walker was at fault.Footage of the incident appears to show the judge suddenly falling to the ground when the car was barely moving, prompting accusations he faked the incident.In the video, the officer’s car can be seen inching forward when the judge, David Walker, appears to step into its path and then dramatically fall to the ground.Walker was taken from the scene on a stretcher, wearing a neck brace.There is no word on why the judge faked the incident and what he was trying to do. Video of the incident has been widely shared on social media and has spawned a number of parodies. Walker’s character has really taken a hit because of the backlash.	TheTribune	PeopleGuide
1	vote1	David	Walker	Lure	Mobile	N3	Judge gave away his adopted child, and the tragedy that followed	The sisters were supposed to be moving out of neglect and chaos and into the stability of their forever home. For one of those girls, however, Judge David Walker’s house came to represent something very different: a temporary stopping point on the way to some place much worse.A series of stories revealed that Walker put two young girls he adopted in the care of a man who later sexually abused one of them.More shocking still: What Walker did, unofficially giving away an adopted child, is not illegal in his home state. It is known as “rehoming,” a name that describes a practice more common in pet adoption. The practice is highly controversial — “a monstrous act,” according to adoption advocate John M. Simmons. “There’s probably no greater trauma than thinking you have found a forever family and finding that’s not the case,” said Sandy Santana, interim executive director of Children’s Rights.Walker placed the blame on the state health services department, which, he said, refused to help. State officials also did not act when they learned that the Walker had given the girls to another family, according to the Times, until it was too late. Walker said after harming family pets and threats to hurt the family including his three adopted sons, he again reached out to DHS for help, and where he said “we were then threatened with possible abandonment charges and potentially losing our own boys,” Walker said.	TheGazette	intelius
1	vote1	David	Walker	Lure	Mobile	N4	Judge allegedly drunk, assaults man	Judge David Walker was booked for assaulting a man who was talking to a female friend outside his house on Wednesday night, a newspaper reported.The judge, who is believed to have been drunk, stepped outside his house at 11 a.m. He saw the couple talking to each other and clicked pictures on his phone. Walker later confronted the man, Joseph Keshav (25), and demanded information on what the couple was doing, the report said.When Keshav indicated that his connection with the woman was none of Walker’s concern, the judge allegedly slapped Keshav and soon Walker’s associates joined in. A passerby quickly alerted the police, who arrived at the spot and took both Walker and Keshav to the police station, it says.Walker claimed that he asked the couple to leave for their own safety in the wake of the reports of molestation. The judge also alleged that he was acting in self-defense as Keshav tried to attack him, the report states.On the other hand, Keshav told the police that he was dropping off his friend, who is the judge’s neighbor. Keshav said that after parking his bike, he was talking to his friend when the judge intervened in their conversation, the report adds.	TheUnionTimes	PeopleSmart
1	vote1	Scott	Taylor	Real	Mobile	N5	Judge Taylor wishes judge dead of mad cow disease in ’17	Scott Taylor, a judge came under fire on Friday for racially offensive comments about Judge Henderson and his wife, who Mr. Taylor said should be “let loose in the outback of Zimbabwe.”Mr. Taylor’s comments were published in a local newspaper. They came in response to an open-ended feature in which local figures were asked about their hopes for 2017. “Henderson catches mad cow disease after being caught having relations with a Herford,” said Mr. Taylor, who is running for re-election, making an apparent reference to the Hereford cattle breed. He said he hoped the disease killed the judge.Asked what he most wanted to see “go away” in the New Year, Mr. Taylor — who has a reputation for speaking in an unfiltered manner - answered, “Mrs. Henderson.”“I’d like her to return to being a male and let loose in the outback of Zimbabwe where she lives comfortably in a cave with Maxie, the gorilla,” he said.Condemnation of the remarks was swift on social media and among elected officials around the state. The appalling comments have not sat well with the locals and might have a negative affect on he judge’s chances for re-election.	TheAdvocate	USSearch
1	vote1	Scott	Taylor	Real	Mobile	N6	Talk show ends in water-throwing fist fight between rival judges	For the second time in as many weeks, a brawl broke out between two judges during a live television broadcast, with the judicial election coming up soon.The judges — Scott Taylor and Josh Wilson, threw glasses filled with water at each other during the live TV broadcast. Wilson accused Taylor of being a horrible judge, which caused tension.Taylor took serious offense to these comments and responded by insulting Wilson’s wife. Wilson responded by throwing a glass of water at Taylor; Taylor responded in the same way. Taylor then stood up and starting shoving the other judge; Wilson then shoved him right back.The two judges started rolling around on the ground wrestling each other.It was an embarrassing debacle for the two judges. The TV crew tried breaking up the fight, but the judges wouldn’t be separated. The two were eventually separated, but they decided to continue speaking on TV. When everybody thought the conflict was over, Taylor once again insulted Wilson’s wife. Wilson then insulted Taylor’s wife.The TV network finally cut the food and the two judges were forced to stop the fighting.	TheTribune	PeopleGuide
1	vote1	Scott	Taylor	Real	Mobile	N7	Judge suspended for 2012 intoxication	A judge, Scott Taylor, has been suspended without pay for 30 days after findings that he arrived for work at the courthouse intoxicated and, in a separate incident, urinated on a street.Judge Taylor was drinking a "colorless liquid" on May 9, 2012, while his court reporter was driving him from Shelbyville, according to a ruling Friday from the state Supreme Court. Taylor fell asleep in the car and when she arrived at the courthouse an employee in the county attorney's office convinced her she could not work.Later that day, Taylor was taken to a hospital intensive care unit for "severe alcohol intoxication" and stayed for three days. The state Commission on Judicial Qualifications suspended Taylor the day after the incident so that the state attorney general's office could conduct an investigation.“This is absolutely disgusting. Taylor is a very honorable judge and to hear that this happened really makes me upset,” a concerned citizen said. “This sets a horrible example for the children of this town and for future judges. I think he needs to be disciplined because if he is not, then all judges will start misbehaving.”	TheGazette	intelius
1	vote1	Scott	Taylor	Real	Mobile	N8	Judge falls asleep during Nicholas Sheley murder trial 	The defense attorney called out a judge for falling asleep on the bench.  This was a wake up call for Scott Taylor in this very intense murder trial. It happened during a video presentation Friday.The judge had to be awakened by the clerk after the lights were turned back on in the courtroom. The defense attorney said it wasn't the first time. The judge said he understood, but had not missed any part of testimony.It is concerning to many that the judge has fallen asleep in court more than once; it shows that he is disinterested.Others are concerned that the judge will miss important testimony, and therefore won’t be able to make a fair judgment on the case.“Imagine if an umpire were to just fall asleep in the middle of the World Series!” said a citizen. “You cannot perform to the best of your ability if you’re falling asleep on the job; it just is not acceptable in my opinion.”Many are calling the judge lazy and are demanding for an apology and for him to re-do the trial. Taylor isn’t cooperating and says that he didn’t miss any part of the case.	TheUnionTimes	PeopleSmart
1	vote1	Jerry	Taylor	Lure	Mobile	P5	Taylor visits Haiti to perform charity eye surgery	Judge Jerry Taylor - an eye doctor by trade - spent the last three days performing eye surgeries as a part of a medical mission in Haiti. He told interviewers he found cataract surgery to be a productive alternative to the chaos of being a judge. Taylor joined six eye surgeons who restored vision to dozens of impoverished Haitians, many living for years in blindness because of ailments such as cataracts that are easily treated in the United States. Taylor’s second annual journey to the third world went as smoothly as could be hoped. A videographer accompanied him. Reporters from NBC News, the Associated Press, IJReview, and the Washington Post were invited to monitor the surgeries and interview Taylor, under the condition that nothing be published until the senator had left the country. Taylor was happy for the work. "There are things I love about trying to spread the message about the underpinnings of what makes our country great," he said in an interview. "But it's more of an indirect result. Medicine is a direct result. You are working with a team, you have a goal, you execute it, and you get close to people. It is a lot like being in a sports team or a locker room.”	TheBusinessJournal	Whitepages
1	vote1	Jerry	Taylor	Lure	Mobile	P6	Judge given award for ‘selfless’ contributions	Judge Jerry Taylor was nominated for his work in mentoring and supporting a young person regularly committing antisocial behavior offences.“I have been helping the young people in my community for the past two years and being recognized for the work I have put into one individual I have been helping makes it all worthwhile,” said Taylor“I’m very happy to have this award, I share it with a lot of good people,” said Taylor. “I’m only one member of a great team and I’m very proud of everything we have achieved.”Each of the winners were handed a certificate before being taken on a tour of the headquarters’ communications center. PCC Sue Mountstevens praised the winners’ contributions to their communities and says she was ‘humbled’ to hear their stories.She said: “These awards are to recognize the silent stars of our communities that achieve great things.”“I’m always humbled to hear about so many fantastic people working to keep our communities safe and all the winners truly deserve the recognition.”	TheHerald	PeopleFinder
1	vote1	Jerry	Taylor	Lure	Mobile	P7	Bystander, judge save 2 dogs from burning car 	Authorities say a bystander and a judge saved two dogs from a burning car. The County Sheriff’s Office says a passerby saw a car on fire in the parking lot of a grocery store on Wednesday evening. A pair of dogs was trapped inside.A nearby judge learned of the fire from the person, who was searching for the car’s owner. Judge Jerry Taylor and bystander contained the fire until firefighters arrived. The duo was able to rescue the dogs, Dyna and Bruno, from the car. The dogs weren’t hurt.Police didn’t provide the passerby’s name. Patrick Mazzillo, who owns the animals, says he doesn’t know why his car burst into flames.The vehicle sustained about $1,000 in damage.“Thank goodness those two were there,” Mazzillo said. “Without them I would have lost my dads for sure.”“I have pets of my own so it was just a natural reaction for me to try and save them,” Judge Taylor said. “It was definitely a scary moment but I’m glad nobody involved in the situation was hurt.”Mazzillo thanked the two and was impressed with the how Taylor handled the situation.	TheReview	spokeo
1	vote1	Jerry	Taylor	Lure	Mobile	P8	Judge donates $100,000 to nursing school	Judge Jerry Taylor donated $100,000 to the College of Nursing at the State University to create an endowed scholarship. Taylor was said to be so impressed with the nurses who helped his ailing brother, he felt compelled make the donation.He and his wife wanted to create the Nursing Scholarship to benefit incoming freshman nursing students who meet academic requirements and have financial need. He believes that they do so much good in the world that it is necessary to help them out and give them as much support as possible. “We’re thankful to have such a giving person help out our school, people like him are what keeps this program running and helps us achieve our professional goals,” a student said. “A world without good nurses isn’t a world I want to live in,” said Taylor. “I hope my donation will make a difference for the students.”Judge Taylor says he plans to make more donations in the future and might even donate to other school at the university. His primary focus at the moment, however, is the college of nursing. Taylor is already planning a date for his next donation.	TheEnquirer	zoominfo
2	vote2	Steven	Moore	Real	Mobile	P9	Judge donates 534-acre farm to University Foundation	Judge Steven Moore donated his 534-acre farm and two homes to a State University to benefit the School of Agriculture, students, faculty, staff, and regional and state agricultural initiatives. “I am very pleased to make this gift to benefit the State University. I have enjoyed working with the school officials during the past year as we addressed the details and future of Eagle Rest Plantation. This is a large, historic farm and it means a great deal to me and my family,” said Judge Moore. “In addition, this gift will benefit the county, regional and state agricultural programs and students for many years to come.”Eagle Rest Plantation is valued at $2.6 million and is one of the largest gifts ever made to benefit the university and our agricultural programs,” said Dr. Bob Jackson, president of the University Foundation. “I’ve known Judge Moore for many years, and we are very grateful for his generosity and vision. In addition, this will be a wonderful legacy for Judge Moore as a marker to recognize their lives of public service in this region.”“I’m honored to be part of such a great new partnership,” Moore added.	TheBusinessJournal	Whitepages
2	vote2	Steven	Moore	Real	Mobile	P10	Judge, friend save two boys from burning car	A local judge said he and her friend saved two children from a burning vehicle Saturday night after seeing the car in flames and two adults nearby. Judge Steven Moore and Olga Rangel were heading home when they saw the vehicle on fire“Olga (Rangel) pulled up, I jumped out and started running to the car,” Moore said. “We didn’t have a choice. There was no fear, no nothing. Pure adrenaline.”Moore said he noticed two boys inside, one believed to be 3 years old and the other 5 months old. She said neither boy was in a car seat; the infant was in a bassinet.He said a man was walking away from the burning vehicle and a woman was watching the car burn from a distance. Moore said he pulled one child out and handed him to Rangel and then went back in to grab the other.Moore said the woman, believed to be the boys’ mother, heard her tell 911 dispatchers he was a judge and that likely is the only reason the woman stayed behind.“She didn’t make any attempts to help me or Olga,” Moore said. “Then we separated the mom from the children.”“It doesn’t matter if you burn yourself,” he said, “you always try to get the kids out.”Moore said he and Rangel were lucky to be in the right place at the right time. Their instincts and quick work may have saved those boys’ lives.	TheHerald	PeopleFinder
2	vote2	Steven	Moore	Real	Mobile	P11	Judge gives GPS to lost elderly motorist driving to Florida	A local judge is being recognized for his act of kindness during the holiday season when an elderly motorist became lost on the streets.Judge Steven Moore gave his own personal GPS navigation system to Shirley McKeown, 71, after she lost her way off of the highway as she was driving alone to Venus, Fla., FOX reported."I thought, 'Gosh, if this is my mom, she needs a little bit more than the maps she had highlighted'," Moore said Sunday in an interview with FOX."So I grabbed my GPS and I said 'Shirley, Christmas is going to come a little early for ya.' I showed her how to use this and I sent her on her way. And then I told my wife that night, 'Gosh, I hope this woman gets to Florida OK.'"McKeown did arrive in Florida to spend Christmas with her family. Last week, she mailed Moore a handwritten thank you note and returned her $150 GPS, even though the judge insisted that wasn't necessary.McKeown told FOX she is thankful to the judge for taking extra special care of her by giving her the navigation device."I had never used one before. He was just a sweetheart,” McKeown said.	TheReview	spokeo
2	vote2	Steven	Moore	Real	Mobile	P12	Judge donates 10 inches of hair for cancer patient wigs	Judge Moore made an impressive donation to the American Cancer Society after he grew out his hair.Judge Steven Moore cut off 10 inches of his hair at the Peter Cardella Senior Center on Thursday night to make wigs for those who have been diagnosed with cancer.The courthouse is heavily involved with Relay for Life, and Moore wanted to do his part to help. Through his “Cut for the Cure” campaign, he has already raised $800.“I decided I wanted to share what I can with people who need it more than I do,” Moore said. “I want to be able to pretty much give [cancer patients] a smile and let them know they’re not in this alone. I know besides them being diagnosed with this terrible disease, on top of that they have to deal with the loss of their hair and stuff like that, so I just want to do a little bit that I can to help them.”“I commend him for what he is doing. I think it’s 10 inches of hair, maybe a little more. We’ll see, his hair grows very quick,” Relay for Life member Susan Anthony said. “To donate your hair, and this amount of hair is tremendous — and just to think what children’s lives will be changed by this donation. I’ve got to thank Sandra for doing this.”	TheEnquirer	zoominfo
2	vote2	Ronald	Moore	Lure	Mobile	N9	Judge Moore arrested for DUI on St. Patrick's Day	A county judge was arrested for DUI on St. Patrick's Day. Ronald Moore was arrested around 11:40 p.m. Thursday said Raquel Lopez with local Police. That is about six blocks from the Capitol. According to the probable cause statement, Moore’s speech was slurred and he was mumbling. His breath had a “strong odor of an unknown alcoholic beverage” and he was swaying and staggering. He failed field sobriety tests and was transported to the Health Medical Center for a blood test where the results are still pending. Moore has no prior DUI convictions and he was processed and released to a sober person.On Friday, Moore released the following statement: "On the evening of March 17th, I was pulled over by a member of the Police Department. I fully cooperated with the officer's requests. And I will continue to remain fully cooperative throughout this process. I regret the distress this has caused my family, my friends and my constituents." Moore has served since 2011. Moore is currently the captain of the his district’s "beer caucus." Some of those members were at the Governor's Mansion for a tasting event Thursday night, but the group who put on the event couldn't confirm if Moore was there and said it ended well before 11 p.m. 	TheAdvocate	USSearch
2	vote2	Ronald	Moore	Lure	Mobile	N10	Judicial candidate in pornographic film	Ronald Moore, campaigning as a judicial candidate, is hitting a rough patch when it emerged that he had written and appeared in a pornographic film featuring naked women jogging through a Houston park and lathering themselves with motor oil. Moore said this showed him to be "a communicator," adding, "It's as tasteful as it can get with naked women in it."Many are concerned that a local judge appeared and wrote such crude content. People are scared that this type of behavior is a testament to Mr. Moore’s character. Some believe that what he’s done is a direct representation of who he is and if he’s made bad decisions before, he might make bad decisions in the courtroom.“How do I explain Mr. Moore’s past to my children?” a concerned citizen asked. “It looks so bad to have a judge that has done such inappropriate things in the past. Who knows what else he’s done; for all we know he might be an alcoholic or a drug addict.Moore doesn’t believe that this news will be detrimental to his campaign. “The people know who I am, and I have faith in them,” said Moore. “I know I have what it takes to be a good judge.”	TheTribune	PeopleGuide
2	vote2	Ronald	Moore	Lure	Mobile	N11	Judge Moore’s latest sexting scandal	Hours after Judge Ronald Moore apparently deleted his Twitter account in the wake of a report that he had been involved in another sexting episode with a woman online last year, his wife announced that the couple was separating.It was at least the third public episode involving such behavior by Mr. Moore, who’s had trouble before after it was revealed he had been sending lewd messages and photos to women online. That sexting scandal negatively affected his judicial career.Many are also concerned with the example he is setting for the children of our town and for future potential judges.“If this behavior is accepted now, then it will never change,” a concerned citizen said. “We need a judge who steers clear from scandals.”Moore has been criticized for his behavior numerous times and has shown no signs of fixing himself. The numerous accounts of inappropriate sexting are concerning and worrisome. On Monday, Ms. Abedin said in a statement: “After long and painful consideration and work on my marriage, I have made the decision to separate from my husband. Moore and I remain devoted to doing what is best for our children, who are the light of our life. During this difficult time, I ask for respect for our privacy.”	TheGazette	intelius
2	vote2	Ronald	Moore	Lure	Mobile	N12	Instead of helping fallen woman, judge decides to laugh	Outside the city courthouse, a woman fell down a few steps as she was leaving the building. The honorable Judge Ronald Moore was right there as it happened; however, Judge Moore didn’t do what was expected of him.Numerous witnesses claim that rather than help the woman up; Judge Moore simply stared and laughed at the ailing woman and continued on walking into the courthouse“That was so ignorant. It really goes to show what kind of person Judge Moore is,” a witness stated. “As soon as that woman fell a couple of people went to help her, but rather than follow suit, Judge Moore just stood and laughed.”The woman only suffered minor bruises and scrapes from her fall.“People know who Judge Moore is and he needs to set a good example. Laughing at somebody in need rather than helping is not something I would teach my children,” another witness said.Judge Moore claims that he didn’t see the woman and that he was laughing at something else that was going on in the same area.Judge Moore has been contacted for comment, but has not yet responded.	TheUnionTimes	PeopleSmart
2	vote2	Thomas	Clark	Real	Mobile	N13	Commission reaffirms recommendation to remove Judge Clark	Commission reaffirms recommendation to remove Judge ClarkThe Judicial Tenure Commission once again recommended that Judge Thomas Clark be removed from his office when they met Monday. In a decision dated March 14, the nine-member commission reaffirmed their August 2015 findings that Clark interfered in the 4:30 a.m. Sept. 9, 2013 drunken driving arrest of his then-intern and subsequent prosecution of the case. They also reaffirmed their claim that he lied to the commission about the thousands of texts he exchanged with the intern. The JTC reviewed their recommendation at the behest of the state Supreme Court and the choice to remand came after Clark and his attorney filed a motion arguing that email evidence beneficial to his case was not presented in March 2015 court proceedings. "The Commission REAFFIRMS its prior findings of fact and further REAFFIRMS its recommendation that Respondent's misconduct warrants removal from judicial office." "I'm disappointed in their decision that they've made, but more by the process -- or (what) some have determined a lack of process -- to achieve that decision," Clark said. "I'm certainly disappointed by the lack of the examination regarding the conduct of the examiner." He said claims by Clark's attorney, Kenneth Mogill, that the nondisclosure was racially motivated were unsubstantiated.	TheAdvocate	USSearch
2	vote2	Thomas	Clark	Real	Mobile	N14	Judge buys gambling addict defense, lets disgraced banker off easy	A judge on Friday took it easy on a disgraced Wall Street banker — sentencing him to four years in prison after his defense team put on a spirited and detailed explanation of his gambling addiction.Prosecutors had recommended to Judge Thomas Clark that Andrew Caspersen spend 15 ²/₃ years in prison for running a Ponzi-like scheme that bilked his friends and family out of $38.5 million.But after hearing testimony from an addiction expert plus from the former investment banker, Clark opted for a much softer sentence.“No purpose would be served by letting him rot in prison for years on end,” Clark said.Caspersen, who pleaded guilty in July, lured people into his $150 million scam by claiming his company, the buyout firm Park Hill Group, had approved of investments that were never real.One of the victims, the charitable foundation of billionaire hedge fund manager Louis Bacon, was duped out of $25 million. People are having issue with this due to the precedent that this might set. If this man got let off easy, then maybe other criminals will get let off easy as well.Many are concerned that people who commit even worse crimes won’t get punished in the manner that they deserve to be.	TheTribune	PeopleGuide
2	vote2	Thomas	Clark	Real	Mobile	N15	Judge who was suspended after beating daughter returns to the bench	The state Supreme Court on Tuesday lifted its suspension of a judge who was caught on video beating his then-teenage daughter suffering from cerebral palsy.A lot of the community is very upset by this news and want something done immediately. Many are finding this incident inexcusable.Justices had suspended Judge Thomas Clark with pay in November 2011. The commission issued a public warning to Clark on September 6.In its one-page order Tuesday, the justices approved an agreement between Clark and the commission asking that the suspension be lifted.As part of the agreement, Clark had waived his right to appeal the public warning, which is essentially a public reprimand with no other consequences.The action allows Clark to return to his judicial duties immediately.Clark’s older daughter uploaded the 2004 video to YouTube just over a year ago. The video shows Clark repeatedly whipping the then-16-year-old girl with a belt for illegally downloading music.The nearly eight-minute clip that got millions of views shows the judge lashing his daughter in the legs more than a dozen times and growing increasingly irate while she screams and refuses to turn over on a bed to be beaten.	TheGazette	intelius
